"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Gnarlid Colony","G","C","0","","0","","6188","46.2%","52.9%","1126","51.3%","1378","54.5%","2504","53.1%","3671","52.8%","0.3pp"
"Bushwhack","G","C","0","","0","","6337","47.2%","52.8%","1165","48.7%","1470","55.6%","2635","52.5%","3656","53.0%","-0.5pp"
"Micromancer","U","U","0","","0","","1056","19.0%","52.8%","162","","286","","448","","598","53.2%",""
"Tinybones, Bauble Burglar","B","R","0","","0","","1311","51.3%","52.8%","233","","333","","566","55.8%","741","50.5%","5.4pp"
"Llanowar Elves","G","C","0","","0","","7395","54.3%","52.7%","1363","58.3%","1557","49.0%","2920","53.4%","4456","52.2%","1.1pp"
"Solemn Simulacrum","","R","0","","0","","2174","88.7%","52.7%","378","","498","","876","53.3%","1288","51.9%","1.4pp"
"Elfsworn Giant","G","C","0","","0","","4625","33.7%","52.6%","799","48.4%","1083","54.8%","1882","52.1%","2742","52.8%","-0.8pp"
"Kiora, the Rising Tide","U","R","0","","0","","1624","61.9%","52.6%","320","","421","","741","51.3%","882","53.3%","-2.0pp"
"Strix Lookout","U","C","0","","0","","3928","27.9%","52.6%","706","54.4%","937","52.8%","1643","53.5%","2273","51.9%","1.6pp"
"Vampire Gourmand","B","U","0","","0","","2105","37.9%","52.6%","365","","493","","858","54.1%","1245","51.6%","2.5pp"
"Quick-Draw Katana","","C","0","","0","","831","6.2%","52.6%","122","","197","","319","","512","52.0%",""
"Vengeful Bloodwitch","B","U","0","","0","","2054","36.2%","52.6%","370","","471","","841","52.4%","1210","52.6%","-0.1pp"
"Overrun","G","U","0","","0","","1845","34.2%","52.5%","302","","432","","734","51.0%","1111","53.6%","-2.6pp"
"Drake Hatcher","U","R","0","","0","","1195","44.7%","52.5%","205","","318","","523","53.7%","665","51.3%","2.5pp"
"Spitfire Lagac","R","C","0","","0","","1176","8.8%","52.5%","188","","264","","452","","721","52.1%",""
"Juggernaut","","U","0","","0","","652","11.6%","52.5%","117","","149","","266","","389","",""
"Dwynen, Gilt-Leaf Daen","G","U","0","","0","","1741","32.4%","52.4%","312","","400","","712","51.8%","1031","52.8%","-0.9pp"
"Gleaming Barrier","","C","0","","0","","1127","8.1%","52.4%","209","","271","","480","","644","55.1%",""
"Wildwood Scourge","G","U","0","","0","","2132","42.7%","52.3%","375","","488","","863","53.2%","1267","51.8%","1.4pp"
"Dwynen's Elite","G","C","0","","0","","4466","32.9%","52.3%","786","51.9%","1022","52.3%","1808","52.2%","2649","52.3%","-0.2pp"
"Giant Growth","G","C","0","","0","","3295","25.2%","52.3%","537","48.4%","720","53.1%","1257","51.1%","2028","52.9%","-1.8pp"
"Apothecary Stomper","G","C","0","","0","","3868","27.6%","52.3%","633","47.2%","914","53.4%","1547","50.9%","2309","53.1%","-2.2pp"
"Flamewake Phoenix","R","R","0","","0","","1125","43.2%","52.1%","202","","253","","455","","669","54.7%",""
"Seeker's Folly","B","U","0","","0","","1081","19.7%","52.1%","204","","242","","446","","634","50.0%",""
"Needletooth Pack","G","U","0","","0","","2406","45.4%","52.1%","390","","536","49.8%","926","50.3%","1479","53.1%","-2.8pp"
"Essence Scatter","U","U","0","","0","","1456","28.0%","52.1%","259","","376","","635","52.6%","815","51.7%","0.9pp"
"Koma, World-Eater","UG","R","0","","0","","1537","59.9%","52.0%","235","","423","","658","54.9%","872","49.4%","5.4pp"
"Ambush Wolf","G","C","0","","0","","4139","31.0%","52.0%","733","52.5%","937","54.1%","1670","53.4%","2464","51.1%","2.3pp"
"Soul-Shackled Zombie","B","C","0","","0","","2835","20.2%","52.0%","462","","702","53.6%","1164","52.6%","1666","51.6%","1.0pp"
"Kaito, Cunning Infiltrator","U","M","0","","0","","702","56.8%","52.0%","120","","180","","300","","399","",""
"Ashroot Animist","RG","R","0","","0","","1159","47.9%","51.9%","212","","249","","461","","698","48.4%",""
"Rugged Highlands","","C","0","","0","","1533","22.2%","51.9%","275","","310","","585","50.4%","945","52.8%","-2.4pp"
"Slumbering Cerberus","R","U","0","","0","","1294","25.2%","51.8%","237","","259","","496","","798","51.8%",""
"Think Twice","U","C","0","","0","","4040","28.0%","51.7%","723","52.1%","986","53.5%","1709","53.0%","2322","50.8%","2.1pp"
"Shivan Dragon","R","U","0","","0","","1201","21.8%","51.7%","190","","285","","475","","728","52.6%",""
"Fleeting Distraction","U","C","0","","0","","3095","22.5%","51.7%","517","50.5%","787","52.5%","1304","51.7%","1698","51.7%","-0.0pp"
"Ruby, Daring Tracker","RG","U","0","","0","","1209","21.9%","51.7%","198","","272","","470","","737","50.7%",""
"Incinerating Blast","R","C","0","","0","","2587","19.5%","51.7%","445","","573","51.5%","1018","50.1%","1568","52.7%","-2.6pp"
"Witness Protection","U","C","0","","0","","3329","24.7%","51.7%","537","50.5%","859","55.1%","1396","53.3%","1925","50.4%","2.9pp"
"Drakuseth, Maw of Flames","R","R","0","","0","","1038","42.2%","51.6%","174","","225","","399","","631","51.5%",""
"Meteor Golem","","U","0","","0","","1965","39.4%","51.6%","318","","471","","789","48.2%","1159","53.6%","-5.4pp"
"Goblin Negotiation","R","U","0","","0","","859","15.4%","51.6%","141","","199","","340","","520","54.8%",""
"Refute","U","C","0","","0","","2846","20.9%","51.5%","511","48.1%","725","54.1%","1236","51.6%","1606","51.4%","0.2pp"
"Exsanguinate","B","U","0","","0","","588","10.7%","51.5%","103","","139","","242","","345","",""
"Billowing Shriekmass","B","U","0","","0","","1433","24.3%","51.5%","255","","335","","590","51.5%","843","51.7%","-0.2pp"
"Faebloom Trick","U","U","0","","0","","1981","35.9%","51.5%","325","","523","55.8%","848","54.5%","1129","49.1%","5.4pp"
"Bigfin Bouncer","U","C","0","","0","","4015","29.5%","51.5%","664","51.1%","1036","57.1%","1700","54.8%","2302","48.9%","5.9pp"
"Cackling Prowler","G","C","0","","0","","4548","32.6%","51.5%","747","52.3%","1092","49.9%","1839","50.9%","2703","51.7%","-0.8pp"
