"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Courageous Goblin","R","C","77798","6.63","11547","9.16","35395","52.7%","54.4%","6358","54.8%","7235","52.3%","13593","53.5%","21760","54.9%","-1.5pp"
"Kaito, Cunning Infiltrator","U","M","1654","1.56","1083","1.57","5207","85.2%","54.4%","917","55.5%","1404","57.8%","2321","56.9%","2882","52.4%","4.5pp"
"Fanatical Firebrand","R","C","79298","6.79","11049","9.55","28024","43.6%","54.4%","5062","54.3%","5905","52.5%","10967","53.4%","17028","55.0%","-1.6pp"
"Arcane Epiphany","U","U","23420","4.79","5283","5.98","22467","74.6%","54.3%","3775","53.0%","6135","58.1%","9910","56.2%","12513","52.8%","3.3pp"
"Mild-Mannered Librarian","G","U","22899","4.32","4351","5.56","19785","78.4%","54.2%","3590","56.0%","4499","55.6%","8089","55.8%","11655","53.0%","2.8pp"
"Swiftblade Vindicator","WR","R","8289","4.11","1797","4.86","5686","55.0%","54.2%","1024","53.0%","1196","51.9%","2220","52.4%","3464","55.2%","-2.8pp"
"Goblin Bushwhacker","R","C","1065","5.52","179","","532","51.4%","54.1%","97","","123","","220","","309","",""
"Goldvein Pick","","C","74224","5.62","12313","7.90","44541","62.6%","54.1%","7781","53.1%","10300","53.8%","18081","53.5%","26435","54.6%","-1.0pp"
"Lightshell Duo","U","C","80259","7.03","12387","9.69","26967","38.1%","54.1%","4498","53.2%","7412","57.6%","11910","55.9%","15036","52.6%","3.3pp"
"Mischievous Pup","W","U","26309","5.11","4259","7.08","14443","59.1%","54.1%","2478","49.2%","3420","55.1%","5898","52.6%","8538","55.1%","-2.5pp"
"Vengeful Bloodwitch","B","U","20778","3.90","4637","4.96","21629","80.8%","54.1%","3943","51.6%","5151","56.9%","9094","54.6%","12501","53.7%","0.9pp"
"Llanowar Elves","G","C","44119","3.38","9841","4.22","51423","90.5%","54.1%","9518","61.3%","11176","51.9%","20694","56.2%","30653","52.6%","3.6pp"
"Goblin Boarders","R","C","78440","6.79","10964","9.56","30652","48.3%","54.1%","5402","54.2%","6538","51.6%","11940","52.8%","18718","54.9%","-2.1pp"
"Zimone, Paradox Sculptor","UG","M","1749","1.85","1108","1.76","5465","84.7%","54.0%","923","60.6%","1526","63.2%","2449","62.2%","3020","47.3%","14.9pp"
"Vampire Soulcaller","B","C","78460","6.52","11975","9.09","33831","49.3%","54.0%","5642","50.0%","8570","56.9%","14212","54.2%","19572","53.8%","0.4pp"
"Strix Lookout","U","C","70091","5.55","11707","7.62","49331","73.8%","54.0%","9015","54.0%","12816","55.3%","21831","54.8%","27392","53.3%","1.5pp"
"Drake Hatcher","U","R","5207","2.39","2174","2.49","10718","86.4%","54.0%","1884","60.5%","2825","54.9%","4709","57.1%","6002","51.6%","5.5pp"
"Beast-Kin Ranger","G","C","70282","5.55","9863","7.74","41344","73.1%","54.0%","7244","56.9%","9181","53.5%","16425","55.0%","24897","53.3%","1.7pp"
"Phyrexian Arena","B","R","6008","2.87","1870","3.07","8621","81.2%","53.9%","1550","57.3%","2206","54.5%","3756","55.7%","4840","52.5%","3.2pp"
"Slagstorm","R","R","7247","3.46","1654","4.08","5582","58.5%","53.9%","1004","52.9%","1304","59.0%","2308","56.3%","3269","52.1%","4.2pp"
"Axgard Cavalry","R","C","80458","7.05","10871","9.91","26897","42.8%","53.8%","4839","53.3%","5601","50.1%","10440","51.6%","16434","55.3%","-3.7pp"
"Overrun","G","U","21390","4.32","4112","5.33","17138","72.4%","53.8%","2748","51.3%","3931","55.7%","6679","53.9%","10458","53.8%","0.1pp"
"Pilfer","B","C","81218","7.29","10833","10.34","18812","30.2%","53.8%","3275","53.6%","4804","56.5%","8079","55.3%","10719","52.7%","2.7pp"
"Eager Trufflesnout","G","U","22680","4.39","3972","5.82","18041","78.1%","53.8%","3271","55.2%","3977","54.9%","7248","55.0%","10779","52.9%","2.1pp"
"High Fae Trickster","U","R","4671","2.21","2118","2.26","10557","87.1%","53.8%","1768","52.8%","2892","56.2%","4660","54.9%","5917","52.9%","2.0pp"
"Sower of Chaos","R","C","85080","8.11","10197","11.60","8183","13.9%","53.7%","1339","51.9%","1706","56.1%","3045","54.3%","5148","53.5%","0.8pp"
"Rugged Highlands","","C","41165","7.10","5966","9.91","15822","46.1%","53.7%","3024","56.3%","3257","52.3%","6281","54.3%","9522","53.4%","0.9pp"
"Rogue's Passage","","U","32050","6.63","3548","10.05","8114","39.9%","53.7%","1379","53.6%","1845","56.2%","3224","55.1%","4885","52.9%","2.2pp"
"Ashroot Animist","RG","R","5982","3.01","1918","3.14","7866","71.6%","53.7%","1319","58.9%","1775","59.5%","3094","59.2%","4791","50.0%","9.2pp"
